id,pokedex_no,P_name,forme,hidden_ability,description1,description2,class,percent_female,pre-evolution
1,1,Bulbasaur,Bulbasaur,Chlorophyll,,,Seed Pokémon,0.125,
2,2,Ivysaur,Ivysaur,Chlorophyll,,,Seed Pokémon,0.125,Bulbasaur
3,3,Venusaur,Venusaur,Chlorophyll,,,Seed Pokémon,0.125,Ivysaur
4,4,Charmander,Charmander,Solar Power,,,Lizard Pokémon,0.125,
5,5,Charmeleon,Charmeleon,Solar Power,,,Flame Pokémon,0.125,Charmander
6,6,Charizard,Charizard,Solar Power,,,Flame Pokémon,0.125,Charmeleon
7,7,Squirtle,Squirtle,Rain Dish,,,Tiny Turtle Pokémon,0.125,
8,8,Wartortle,Wartortle,Rain Dish,,,Turtle Pokémon,0.125,Squirtle
9,9,Blastoise,Blastoise,Rain Dish,,,Shellfish Pokémon,0.125,Wartortle
10,10,Caterpie,Caterpie,Run Away,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.",Worm Pokémon,0.5,
11,11,Metapod,Metapod,,Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out.,"Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided.",Cocoon Pokémon,0.5,Caterpie
12,12,Butterfree,Butterfree,Tinted Lens,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.",Butterfly Pokémon,0.5,Metapod
13,13,Weedle,Weedle,Run Away,,,Hairy Bug Pokémon,0.5,
14,14,Kakuna,Kakuna,,,,Cocoon Pokémon,0.5,Weedle
15,15,Beedrill,Beedrill,Sniper,,,Poison Bee Pokémon,0.5,Kakuna
16,16,Pidgey,Pidgey,Big Pecks,,,Tiny Bird Pokémon,0.5,
17,17,Pidgeotto,Pidgeotto,Big Pecks,,,Bird Pokémon,0.5,Pidgey
18,18,Pidgeot,Pidgeot,Big Pecks,,,Bird Pokémon,0.5,Pidgeotto
19,19,Rattata,Rattata,Hustle,"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.","With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.",Mouse Pokémon,0.5,
20,20,Raticate,Raticate,Hustle,"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans.","Its disposition is far more violent than its looks would suggest. Don’t let your hand get too close to its face, as it could bite your hand clean off.",Mouse Pokémon,0.5,Rattata
21,21,Spearow,Spearow,Sniper,Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokémon in the tall grass.,Farmers whose fields are troubled by bug Pokémon appreciate Spearow for its vigorous appetite and look after it.,Tiny Bird Pokémon,0.5,
22,22,Fearow,Fearow,Sniper,It’s tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.,Drawings of a Pokémon resembling Fearow can be seen in murals from deep in ancient history.,Beak Pokémon,0.5,Spearow
23,23,Ekans,Ekans,Unnerve,,,Snake Pokémon,0.5,
24,24,Arbok,Arbok,Unnerve,,,Cobra Pokémon,0.5,Ekans
25,25,Pikachu,Pikachu,Lightning Rod,A plan was recently announced to gather many Pikachu and make an electric power plant.,It’s in its nature to store electricity. It feels stressed now and then if it’s unable to fully discharge the electricity.,Mouse Pokémon,0.5,Pichu
26,26,Raichu,Raichu,Lightning Rod,"It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant.","It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked.",Mouse Pokémon,0.5,Pikachu
27,27,Sandshrew,Sandshrew,Sand Rush,It can roll its body into a ball. It moves through the desert by rolling at high speeds.,"It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type Pokémon.",Mouse Pokémon,0.5,
28,28,Sandslash,Sandslash,Sand Rush,"Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss.","It uses its claws to climb trees and then curls its body into a spiny ball, ready to drop onto any prey that appears.",Mouse Pokémon,0.5,Sandshrew
29,29,Nidoran♀,Nidoran♀,Hustle,,,Poison Pin Pokémon,1.0,
30,30,Nidorina,Nidorina,Hustle,,,Poison Pin Pokémon,1.0,Nidoran♀
31,31,Nidoqueen,Nidoqueen,Sheer Force,,,Drill Pokémon,1.0,Nidorina
32,32,Nidoran♂,Nidoran♂,Hustle,,,Poison Pin Pokémon,0.0,
33,33,Nidorino,Nidorino,Hustle,,,Poison Pin Pokémon,0.0,Nidoran♂
34,34,Nidoking,Nidoking,Sheer Force,,,Drill Pokémon,0.0,Nidorino
35,35,Clefairy,Clefairy,Friend Guard,"Its adorable behavior and appearance make it popular with men and women, young and old. Its numbers are few, however.","On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.",Fairy Pokémon,0.75,Cleffa
36,36,Clefable,Clefable,Unaware,They don’t like to reveal themselves in front of people. They live quietly in packs deep in the mountains.,"According to tradition, people who see a pair of Clefable skipping by can look forward to a happy marriage.",Fairy Pokémon,0.75,Clefairy
37,37,Vulpix,Vulpix,Drought,"Its beautiful fur and tails have made it very popular. As it grows, its tails split to form more tails.",From its mouth spew flames that seem to resemble the spirits of the deceased. Some people mistakenly think this fire is a ghost.,Fox Pokémon,0.75,
38,38,Ninetales,Ninetales,Drought,Legend has it that this mystical Pokémon was formed when nine saints coalesced into one.,"Said to live for a thousand years, this Pokémon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.",Fox Pokémon,0.75,Vulpix
39,39,Jigglypuff,Jigglypuff,Friend Guard,"It hugely inflates its stomach and sings a mysterious melody. If you hear this melody, you’ll become sleepy right away.","Jigglypuff possess a vocal range that exceeds 12 octaves, but each individual’s singing skill depends on its own effort.",Balloon Pokémon,0.75,Igglybuff
40,40,Wigglytuff,Wigglytuff,Frisk,It sheds its fine fur when the seasons change. The fur is gathered and spun into a luxurious yarn.,"As it inhales, it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most.",Balloon Pokémon,0.75,Jigglypuff
41,41,Zubat,Zubat,Infiltrator,"It sleeps in caves during the day. It has no eyes, so to check its surroundings while flying, it emits ultrasonic waves.","When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony.",Bat Pokémon,0.5,
42,42,Golbat,Golbat,Infiltrator,"Its thick fangs are hollow like straws, making them unexpectedly fragile. These fangs are specialized for sucking blood.","Sometimes they drink so much blood, they can’t fly anymore. Then they fall to the ground and become food for other Pokémon.",Bat Pokémon,0.5,Zubat
43,43,Oddish,Oddish,Run Away,,,Weed Pokémon,0.5,
44,44,Gloom,Gloom,Stench,,,Weed Pokémon,0.5,Oddish
45,45,Vileplume,Vileplume,Effect Spore,,,Flower Pokémon,0.5,Gloom
46,46,Paras,Paras,Damp,"No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.",Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.,Mushroom Pokémon,0.5,
47,47,Parasect,Parasect,Damp,The large mushroom on its back controls it. It often fights over territory with Shiinotic.,"It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines.",Mushroom Pokémon,0.5,Paras
48,48,Venonat,Venonat,Run Away,,,Insect Pokémon,0.5,
49,49,Venomoth,Venomoth,Wonder Skin,,,Poison Moth Pokémon,0.5,Venonat
50,50,Diglett,Diglett,Sand Force,It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.,Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.,Mole Pokémon,0.5,
51,51,Dugtrio,Dugtrio,Sand Force,This set of triplets moves cooperatively. It’s the power of teamwork that enables this Pokémon to dig to a depth of 60 miles.,"Despite the closeness between this Pokémon and farmers and other people, no one has ever seen the parts of it concealed underground.",Mole Pokémon,0.5,Diglett
52,52,Meowth,Meowth,Unnerve,"It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change.",It loves shiny things. It often fights with Murkrow over prey they’re both trying to catch.,Scratch Cat Pokémon,0.5,
53,53,Persian,Persian,Unnerve,It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds.,"It has a high opinion of itself, although not to the same extent as the Alolan Persian. It’s quite difficult to make friends with this Pokémon.",Classy Cat Pokémon,0.5,Meowth
54,54,Psyduck,Psyduck,Swift Swim,"As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to.","This Pokémon is troubled by constant headaches. The more pain it’s in, the more powerful its psychokinesis becomes.",Duck Pokémon,0.5,
